postcode,lat,long
BT179AL,54.547386,-6.004211
BT179AQ,54.549713,-6.005302
BT179BH,54.548762,-6.001609
BT179BS,54.547654,-6.006856
BT179BW,54.554206,-6.005377
BT179DA,54.541861,-6.014649
BT179DB,54.541123,-6.014035
BT179DR,54.538588,-6.017249
BT179FP,54.540807,-6.019041
BT179HA,54.541723,-6.018812
BT179HS,54.543138,-6.025682
BT179LP,54.532653,-5.997838
BT179PG,54.545037,-6.007833
BT179PQ,54.542868,-6.009794
BT179PT,54.543156,-6.014725
BT179PW,54.545634,-6.006954
BT179RJ,54.540291,-6.016425
BT179RZ,54.551736,-6.003194
BT179SA,54.551352,-6.004465
BT180AJ,54.646978,-5.819498
BT180AQ,54.64826,-5.817833
BT180BA,54.648939,-5.813644
BT180DU,54.666137,-5.766449
BT180EZ,54.653725,-5.794156
BT180GA,54.653699,-5.794219
BT189AB,54.642605,-5.833706
BT189AQ,54.641333,-5.835385
BT189BP,54.640108,-5.826697
BT189EF,54.641143,-5.83431
BT189HL,54.640122,-5.83754
BT189JS,54.63962,-5.845173
BT189QY,54.623868,-5.851132
BT189RS,54.615724,-5.809868
BT189SB,54.634131,-5.817134
BT189SG,54.630723,-5.837993
BT189SN,54.631238,-5.838647
BT191FL,54.650112,-5.704696
BT191GT,54.646706,-5.716744
BT191JD,54.656907,-5.726242
BT191JQ,54.656785,-5.724513
BT191PP,54.6579,-5.726497
BT191QN,54.648286,-5.69702
BT191QS,54.647345,-5.698592
BT191RJ,54.647266,-5.717205
BT191UN,54.645104,-5.737483
BT191WE,54.642695,-5.691263
BT192GT,54.639242,-5.656541
BT196DS,54.657287,-5.632177
BT196JH,54.67468,-5.623319
BT196JJ,54.674192,-5.622247
BT196JP,54.676156,-5.617015
BT196JX,54.67446,-5.61761
BT196JY,54.673679,-5.619439
BT196NA,54.65122,-5.592922
BT196NE,54.654001,-5.616732
BT197DQ,54.637331,-5.644633
BT197JG,54.637331,-5.644633
BT197JN,54.634739,-5.660863
BT197SR,54.645196,-5.6531
BT203DL,54.659945,-5.680846
BT203FB,54.650034,-5.679876
BT203JP,54.650682,-5.683667
BT203LD,54.653314,-5.688832
BT203LE,54.667458,-5.682293
BT203NU,54.659278,-5.693422
BT203NY,54.656688,-5.69236
BT203TF,54.665084,-5.676569
BT203TT,54.661129,-5.67557
BT203TU,54.666076,-5.680016
BT204DG,54.648841,-5.671714
BT204DW,54.650406,-5.674447
BT204ER,54.647434,-5.674121
BT204JA,54.657959,-5.671892
BT204JD,54.657171,-5.675331
BT204LX,54.657535,-5.662509
BT204LZ,54.661158,-5.651017
BT204QG,54.654242,-5.64235
BT204QR,54.662663,-5.659083
BT204RU,54.659972,-5.631633
BT204SQ,54.658377,-5.634144
BT204SY,54.658024,-5.663612
BT204UR,54.651503,-5.6605
BT204UZ,54.650351,-5.660891
BT204XP,54.654919,-5.655933
BT205EN,54.664467,-5.6627
BT205JJ,54.663266,-5.660103
BT205LX,54.66483,-5.645271
BT205NF,54.663382,-5.643836
BT205QH,54.660905,-5.644444
BT205QN,54.661718,-5.643296
BT205QX,54.662812,-5.641327
BT205YH,54.663198,-5.659812
BT210AB,54.642487,-5.536687
BT210DJ,54.64493,-5.541048
BT210HE,54.642741,-5.533712
BT210HG,54.642526,-5.532408
BT210JF,54.638171,-5.536111
BT210JL,54.641775,-5.531741
BT210LX,54.622665,-5.590273
BT210QP,54.646817,-5.548573
BT221AY,54.443168,-5.476918
BT221BE,54.498121,-5.473207
BT221DF,54.462644,-5.471076
